29501,meningococcal group A polysaccharide,IN
29503,meningococcal group C polysaccharide,IN
114883,Typhim VI,BN
139056,COMVAX,BN
203439,Havrix,BN
204527,tetanus toxoid vaccine 5 UNT per 0.5 ML Injectable Suspension,SY
204527,"tetanus toxoid vaccine, inactivated 10 UNT/ML Injectable Suspension",SCD
205262,"tetanus toxoid vaccine, inactivated 20 UNT/ML Injectable Suspension",SCD
207269,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML Injectable Solution [Menomune A/C/Y/W-135],SBD
207269,Menomune A/C/Y/W-135 (meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 0.1 MG/ML / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 0.1 MG/ML) Injectable Solution,SY
207269,Menomune A/C/Y/W-135 (meningococcal group A polysaccharide 50 MCG / meningococcal group C polysaccharide 50 MCG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP W-135 50 MCG / MENINGOCOCCAL POLYSACCHARIDE VACCINE GROUP Y 50 MCG) per 0.5 ML Injectable Solution,SY
207269,Menomune A/C/Y/W-135 Vaccine Injectable Solution,PSN
219579,RabAvert,BN
224903,Infanrix,BN
287617,Ipol,BN
314724,meningococcal polysaccharide vaccine group W-135,IN
314725,meningococcal polysaccharide vaccine group Y,IN
316782,"tetanus toxoid vaccine, inactivated 8 UNT/ML",SCDC
318242,"tetanus toxoid vaccine, inactivated 8 UNT/ML Injectable Solution",SCD
328467,meningococcal group A polysaccharide 0.1 MG/ML,SCDC
331444,"tetanus toxoid vaccine, inactivated 4 UNT/ML",SCDC
350965,meningococcal polysaccharide vaccine group W-135 0.1 MG/ML,SCDC
350966,meningococcal polysaccharide vaccine group Y 0.1 MG/ML,SCDC
350967,meningococcal group C polysaccharide 0.1 MG/ML,SCDC
352572,Daptacel,BN
352877,PEDIARIX,BN
374054,"tetanus toxoid vaccine, inactivated Injectable Solution",SCDF
374444,"tetanus toxoid vaccine, inactivated Injectable Suspension",SCDF
404894,Biothrax,BN
496892,RotaTeq,BN
568054,meningococcal group A polysaccharide 0.1 MG/ML / meningococcal group C polysaccharide 0.1 MG/ML / meningococcal polysaccharide vaccine group W-135 0.1 MG/ML / meningococcal polysaccharide vaccine group Y 0.1 MG/ML [Menomune A/C/Y/W-135],SBDC
583411,Boostrix,BN
605718,Adacel,BN
659877,Gardasil,BN
661026,Cervarix,BN
674453,Pentacel,BN
683648,Hiberix,BN
762595,Salmonella typhi Ty21a live antigen,IN
762595,typhoid vaccine live Ty21a,SY
762597,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule,SCDF
762598,"typhoid vaccine live Ty21a 2,000,000,000 UNT Delayed Release Oral Capsule",SY
762598,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule,SCD
762598,"typhoid vaccine live Ty21a 2,000,000,000 UNT Delayed Release Oral Capsule",PSN
762601,Salmonella typhi Ty21a live antigen Delayed Release Oral Capsule [Vivotif],SBDF
762602,Salmonella typhi Ty21a live antigen 2000000000 UNT Delayed Release Oral Capsule [Vivotif],SBD
762602,"Vivotif 2,000,000,000 UNT Delayed Release Oral Capsule",PSN
762602,"Vivotif 2,000,000,000 UNT Delayed Release Oral Capsule",SY
762602,"Vivotif Berna 2,000,000,000 UNT Delayed Release Oral Capsule",SY
762817,rubella virus vaccine live (Wistar RA 27-3 strain),IN
762818,rubella virus vaccine live (Wistar RA 27-3 strain) 2000 UNT/ML,SCDC
763096,"poliovirus vaccine inactivated, type 1 (Mahoney)",IN
763097,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML",SCDC
763098,"poliovirus vaccine inactivated, type 2 (MEF-1)",IN
763099,"poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML",SCDC
763100,"poliovirus vaccine inactivated, type 3 (Saukett)",IN
763101,"poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML",SCDC
763104,"poliovirus vaccine inactivated, type 1 (Mahoney) 80 UNT/ML / poliovirus vaccine inactivated, type 2 (MEF-1) 16 UNT/ML / poliovirus vaccine inactivated, type 3 (Saukett) 64 UNT/ML [Ipol]",SBDC
